scene,N,subset,pixel_seed,cheap_info
A_cylinder,3,"9,14,22",136843979,-7.470820897466804
A_cylinder,3,"8,9,27",2118673319,-5.870362244523467
A_cylinder,3,"18,21,29",205801392,-6.127812488520082
A_cylinder,3,"3,8,9",1965202018,-5.907415937300741
A_cylinder,3,"0,22,30",387678990,-5.810491466394452
A_cylinder,3,"0,22,24",313758946,-5.808964438613809
A_cylinder,3,"7,22,29",887729513,-6.330677838424216
A_cylinder,3,"15,16,22",1304443765,-6.074442209353766
A_cylinder,3,"11,15,19",2072325810,-6.463902273490057
A_cylinder,3,"4,28,29",322346742,-6.29912513722942
A_cylinder,3,"15,22,24",790500179,-6.672387371966856
A_cylinder,3,"3,24,25",527153055,-6.076030723235571
A_cylinder,3,"6,7,19",1754195371,-6.670775909259229
A_cylinder,3,"0,11,24",1929613514,-5.901794639625124
A_cylinder,3,"3,8,10",1153967759,-5.920140895266224
A_cylinder,3,"6,12,15",796074628,-7.206735693994148
A_cylinder,3,"10,23,28",258635838,-6.37977500188035
A_cylinder,3,"7,13,19",1303379562,-5.930851423587613
A_cylinder,3,"19,24,27",2057427174,-6.61054616527182
A_cylinder,3,"22,24,28",361027555,-6.446308969734142
A_cylinder,3,"7,25,27",1856102031,-7.330599487915274
A_cylinder,3,"3,4,24",1930952697,-5.9820463631358995
A_cylinder,3,"13,15,29",1674913688,-5.974174077719288
A_cylinder,3,"3,23,26",281337310,-6.0908075823515695
A_cylinder,3,"6,23,31",488541436,-6.685916936839365
A_cylinder,3,"1,15,19",38111365,-7.0852154116395365
A_cylinder,3,"9,12,26",1227107760,-6.239776266688551
A_cylinder,3,"5,8,25",1032250383,-5.829603810277039
A_cylinder,3,"4,10,18",128922918,-6.078676502513203
A_cylinder,3,"11,16,30",1075405376,-6.1293535371194645
A_cylinder,3,"7,11,22",1002193602,-6.3928463756751635
A_cylinder,3,"0,8,21",1883744775,-5.907458952163835
A_cylinder,3,"4,10,24",695233421,-6.163778367294116
A_cylinder,3,"3,11,14",1344999429,-5.915401775978629
A_cylinder,3,"12,14,27",105356727,-7.643949862996628
A_cylinder,3,"1,4,23",744364688,-6.450386351388667
A_cylinder,3,"15,20,31",146596482,-6.68510725412741
A_cylinder,3,"10,14,23",410859502,-6.138081241038773
A_cylinder,3,"9,12,27",1762771322,-7.732006615500137
A_cylinder,3,"15,16,20",1895319179,-6.076962592389963
A_cylinder,3,"8,12,20",2094596032,-5.856695244973033
A_cylinder,3,"6,17,30",1529593366,-7.811184920330333
A_cylinder,3,"4,9,31",681084242,-6.527472102625068
A_cylinder,3,"18,22,25",1243176818,-6.147878009906538
A_cylinder,3,"6,15,25",1013287825,-6.983688992921017
A_cylinder,3,"8,9,22",1220236692,-5.823504764782123
A_cylinder,3,"4,11,20",1608218428,-6.303843383152015
A_cylinder,3,"1,10,18",1506112417,-6.138279650907712
A_cylinder,3,"5,14,18",1708854648,-5.84674704541005
A_cylinder,3,"4,19,25",1334808475,-7.055307736095605
A_cylinder,3,"11,22,27",48188193,-6.526412718621012
A_cylinder,3,"5,8,18",1782626962,-5.947293169485263
A_cylinder,3,"2,15,29",1360844066,-6.254876658073282
A_cylinder,3,"15,23,30",597652291,-6.708654015580703
A_cylinder,3,"3,10,28",490469402,-6.030772910331599
A_cylinder,3,"13,28,29",1882743953,-5.950986483189839
A_cylinder,3,"0,15,26",1901575238,-5.897539922802741
A_cylinder,3,"6,19,23",1289250460,-6.5519993212246685
A_cylinder,3,"3,14,29",1555905751,-6.0751688124878465
A_cylinder,3,"11,17,19",679323221,-6.390254055212728
A_cylinder,3,"2,25,28",441369515,-6.830010717426542
A_cylinder,3,"3,18,31",1681388885,-6.06383578607157
A_cylinder,3,"5,11,31",1464719176,-5.984940954567573
A_cylinder,3,"3,5,30",1069867594,-5.913284645125964
A_cylinder,3,"1,6,19",1081730163,-6.780254610321702
A_cylinder,3,"19,22,25",832735038,-7.268216618646654
A_cylinder,3,"3,27,30",1097513913,-6.074598208337125
A_cylinder,3,"7,27,28",1870941692,-6.71388468749147
A_cylinder,3,"22,26,27",1033831920,-6.270120197446921
A_cylinder,3,"1,16,19",622587510,-6.066675206796407
A_cylinder,3,"3,4,24",729975683,-5.9934907157779005
A_cylinder,3,"13,14,19",1994185407,-5.945995829895104
A_cylinder,3,"4,10,15",494223641,-6.230885304687689
A_cylinder,3,"3,9,17",547524261,-5.913263551094733
A_cylinder,3,"1,18,23",653628611,-6.106908121029905
A_cylinder,3,"3,5,13",168630996,-5.927072782473514
A_cylinder,3,"3,9,14",402875004,-5.864338467080247
A_cylinder,3,"6,12,19",1362625431,-7.110911523963037
A_cylinder,3,"15,22,23",1011020481,-6.855696981151439
A_cylinder,3,"18,25,27",1840706372,-6.148316081428163
A_cylinder,3,"8,17,25",981736173,-5.83044316239633
A_cylinder,3,"5,7,27",920300800,-5.877433162768486
A_cylinder,3,"0,4,6",997178886,-5.869321488516067
A_cylinder,3,"7,20,25",19833020,-7.219786296951454
A_cylinder,3,"15,17,20",2123865550,-7.522163517433669
A_cylinder,3,"3,11,19",1683448455,-6.030839090690501
A_cylinder,3,"11,15,18",159488091,-6.148132324382599
A_cylinder,3,"9,16,21",1692010388,-6.075808126257146
A_cylinder,3,"19,21,27",1027082633,-6.198892364837703
A_cylinder,3,"9,10,25",950937312,-6.14581231160921
A_cylinder,3,"13,23,29",1888932906,-5.965694324074184
