scene,N,subset,final_loss,success,converged,grad_norm,tail_range,restart,iters,si_mae_A,ho_psnr
conf_cone_r04_d12,8,"2,3,4,7,13,20,23,31",0.00012285371485631913,0,0,0.0005502934357917817,nan,0,2400,0.0067942384630441666,17.376897096859917
conf_cone_r04_d12,8,"2,4,5,9,14,16,18,28",0.00012795993825420737,0,0,0.0005472704057031129,nan,0,2400,0.006968874484300613,17.83329138122883
conf_cone_r04_d12,8,"3,12,14,17,23,27,30,31",0.00010611400648485869,0,0,0.0005212669717930297,nan,0,2400,0.006838955916464329,16.085615866595187
conf_cone_r04_d12,8,"4,5,7,8,9,17,18,31",0.0001292598753934726,0,0,0.0005595029579969372,nan,0,2400,0.006990266032516956,18.269910600008593
conf_cone_r04_d12,8,"4,5,8,12,18,22,23,31",0.00013196683721616864,0,0,0.0005651795668262138,nan,0,2400,0.006880670320242643,18.415095930307626
conf_cone_r04_d12,8,"4,6,8,12,15,16,25,26",0.00011487278970889747,0,0,0.0005363567372809856,nan,0,2400,0.007034861017018557,17.257657450396426
conf_cone_r04_d12,8,"4,7,8,12,16,23,24,25",0.0001179634127765894,0,0,0.0005351087673685327,nan,0,2400,0.006815329659730196,16.93087925044527
conf_cone_r04_d12,8,"5,7,8,9,12,14,17,26",0.00012597246677614748,0,0,0.0005579544592812382,nan,0,2400,0.007150421384721994,17.99854892611853
conf_cone_r04_d12,8,"5,7,9,15,16,19,23,28",0.00012517275172285736,0,0,0.0005406940729883019,nan,0,2400,0.006732350680977106,17.318802658686728
conf_cone_r04_d12,8,"5,8,12,21,22,25,26,27",0.0001340231829090044,0,0,0.0005612447994137165,nan,0,2400,0.006897698622196913,18.449561005167098
conf_cone_r04_d12,8,"7,8,12,13,16,19,23,31",0.00012792967027053237,0,0,0.0005499496114138217,nan,0,2400,0.006812629755586386,17.82415663563516
conf_cone_r04_d12,8,"7,11,12,13,16,20,21,25",0.00012433173833414912,0,0,0.0005430022544677033,nan,0,2400,0.0068555427715182304,17.535005886087955
conf_cone_r04_d12,8,"7,11,13,15,21,25,29,30",0.00012466339103411883,0,0,0.0005470700636301874,nan,0,2400,0.006707996129989624,17.649338187099143
conf_cone_r04_d12,8,"10,13,14,16,19,20,21,25",0.00012898709974251688,0,0,0.0005526292853265903,nan,0,2400,0.006865900009870529,17.973255424584153
conf_cone_r04_d12,8,"15,16,19,20,22,24,27,28",0.00011186511255800724,0,0,0.0004979055351867104,nan,0,2400,0.006522081326693296,15.551684364924817
conf_cube_axis,3,"0,12,16",7.351262320298702e-05,0,0,0.00028985475013750407,nan,0,1400,0.002827727934345603,23.79973796402783
conf_cube_axis,3,"1,2,18",6.209256389411166e-05,0,0,0.00026328676307339657,nan,0,1400,0.003533530281856656,17.588716265377077
conf_cube_axis,3,"1,3,8",7.291846122825518e-05,0,0,0.00030865854596308254,nan,0,1400,0.002839787397533655,20.97626238663505
conf_cube_axis,3,"1,19,25",6.639275670750067e-05,0,0,0.00017821803451576121,nan,0,1400,0.054238054901361465,12.723885302437166
conf_cube_axis,3,"2,8,26",7.366300269495696e-05,0,0,0.00028925391221765466,nan,0,1400,0.003118108958005905,21.528112348535476
conf_cube_axis,3,"3,4,31",6.536950240842998e-05,0,0,0.0002708520814312599,nan,0,1400,0.0029776974115520716,17.996647190489462
conf_cube_axis,3,"3,5,17",7.26466387277469e-05,0,0,0.0002835157190759705,nan,0,1400,0.002817706437781453,20.515508429771234
conf_cube_axis,3,"3,8,31",7.462505163857713e-05,0,0,0.00031505340806504994,nan,0,1400,0.002788606798276305,21.27804399994269
conf_cube_axis,3,"3,9,17",6.151958223199472e-05,0,0,0.00026119800018287507,nan,0,1400,0.0030374627094715834,17.365220548310738
conf_cube_axis,3,"3,20,29",6.914456025697291e-05,0,0,0.00028005865870051185,nan,0,1400,0.002945409854874015,19.129640818830854
conf_cube_axis,3,"4,16,29",7.07829458406195e-05,0,0,0.0002813582183143155,nan,0,1400,0.003877517068758607,19.795348846839
conf_cube_axis,3,"5,8,12",7.48891761759296e-05,0,0,0.0002923745637829816,nan,0,1400,0.0028090891428291798,22.033211584514643
conf_cube_axis,3,"5,12,28",6.587847019545734e-05,0,0,0.00029511381911563904,nan,0,1400,0.0030187813099473715,19.49210302990281
conf_cube_axis,3,"6,7,8",6.679722719127312e-05,0,0,0.000278126786338899,nan,0,1400,0.0029929850716143847,19.88913357632168
conf_cube_axis,3,"6,17,27",6.720603414578363e-05,0,0,0.00017904929142146763,nan,0,1400,0.05486775189638138,12.725234127285791
conf_cube_axis,3,"6,21,22",6.511301035061479e-05,0,0,0.00027378899515813815,nan,0,1400,0.0030937357805669308,19.256633257693416
conf_cube_axis,3,"7,9,13",6.66086416458711e-05,0,0,0.0002788530699012501,nan,0,1400,0.003025372978299856,20.077193732858916
conf_cube_axis,3,"7,12,24",6.067651338526048e-05,0,0,0.00022115422891438733,nan,0,1400,0.019393600523471832,14.737444325705164
conf_cube_axis,3,"7,20,25",6.740149547113106e-05,0,0,0.00017836581119881013,nan,0,1400,0.055894818156957626,12.712786445239274
conf_cube_axis,3,"7,22,25",6.842919538030401e-05,0,0,0.00017744077811807966,nan,0,1400,0.057677868753671646,12.706354803635689
conf_cube_axis,3,"8,20,23",6.824318552389741e-05,0,0,0.0002831719438772825,nan,0,1400,0.0029673997778445482,20.178489658741775
conf_cube_axis,3,"11,17,29",6.485511403298005e-05,0,0,0.00024712903196475247,nan,0,1400,0.007447457406669855,17.045830610061287
conf_cube_axis,3,"13,18,24",7.525613182224333e-05,0,0,0.0002982354217182382,nan,0,1400,0.0033206811640411615,21.804916430902345
conf_cube_axis,3,"14,17,28",6.885608308948576e-05,0,0,0.00017934515402264414,nan,0,1400,0.05859725549817085,12.735066655682406
conf_cube_axis,3,"15,17,21",6.48728891974315e-05,0,0,0.00027225458784311423,nan,0,1400,0.0030856062658131123,19.276261405055674
conf_cube_axis,3,"17,24,27",6.421960279112682e-05,0,0,0.00022443633271074446,nan,0,1400,0.024813786149024963,14.869435156538476
conf_cube_axis,3,"18,26,28",7.129079313017428e-05,0,0,0.00028806803763479116,nan,0,1400,0.0034305891022086143,20.221177158094758
conf_cube_axis,3,"19,20,23",6.57992422929965e-05,0,0,0.0002061638645477817,nan,0,1400,0.042267169803380966,13.44744629158825
conf_cube_axis,3,"19,21,28",6.492479587905109e-05,0,0,0.00027371999500627357,nan,0,1400,0.0031102171633392572,19.36214861119116
conf_cube_axis,3,"19,29,31",6.615610618609935e-05,0,0,0.00025070503015424547,nan,0,1400,0.00918686855584383,17.279895469249382
