P,N,cutoff,path,full_lam_min_pos_norm,full_lam_max_norm,full_logdet_pos_norm,full_a_opt_pos_norm,full_d_pos,full_trace,full_min_eig,full_gauge_residual,full_offdiag_max,rank_Fk_min,active_frac_min,boundary_frac_max,scene,subset
1000,8,1e-08,dense,1.9415214329764937e-06,0.001584872547334718,-7.003761999131455,2241.4141652380586,999,1726.8016429657487,-2.2538513557999519e-13,9.523423198079753e-14,0.09549207845442646,9,0.543,0.0,conf_torus_R06_r035,"1,3,5,6,7,13,20,25"
1000,8,1e-08,dense,6.378804745885019e-07,0.0032151430273088246,-7.419360433237902,8416.634327102402,999,1288.8089345065341,-2.7483190036801516e-14,3.414591768087579e-14,0.1267363591470384,9,0.438,0.0,conf_torus_R06_r035,"2,4,14,15,19,24,27,28"
1000,8,1e-08,dense,8.004739148537339e-07,0.0026988347605872466,-7.256453539958091,5723.510142406326,999,1846.7743072480407,-8.302853326630934e-14,2.957340318908857e-14,0.15456036242551735,9,0.445,0.0,conf_torus_R06_r035,"4,13,15,18,19,20,28,31"
1000,8,1e-08,dense,2.22651136730023e-06,0.0025155325983298653,-7.058742023893659,2503.5224928782095,999,1374.2010375532286,-2.0596545302620228e-13,7.247894048190895e-14,0.11666768773092703,9,0.437,0.0,conf_torus_R06_r035,"0,2,4,7,9,20,25,29"
1000,8,1e-08,dense,7.986937994680936e-07,0.002915873888241983,-7.379924292789437,6772.889996622107,999,1288.9182521638857,-2.0418488914672751e-13,7.087660620765623e-14,0.12168832346615172,9,0.498,0.0,conf_torus_R06_r035,"1,5,9,12,17,18,20,28"
1000,8,1e-08,dense,7.205327222111872e-07,0.0017661578741602678,-7.074549803432385,4696.399978132811,999,2667.568557007672,-2.2639108977856435e-13,6.316384993963094e-14,0.10357314430417786,9,0.447,0.0,conf_torus_R06_r035,"0,4,11,13,16,23,29,31"
1000,8,1e-08,dense,7.637676007595004e-07,0.0017823276010804174,-7.090911023292884,3962.0985827256945,999,2277.8779019592853,-1.3890455693760413e-13,6.33098607685341e-14,0.12497341055048095,9,0.707,0.0,conf_torus_R06_r035,"6,8,13,16,18,20,25,28"
1000,8,1e-08,dense,1.1847680900144664e-06,0.001989612135682648,-7.120205891082982,3721.4409292208825,999,1928.9119019044565,-7.53785055207512e-14,7.469181577667447e-14,0.1286488051662267,9,0.519,0.0,conf_torus_R06_r035,"1,5,11,12,14,18,24,29"
1000,8,1e-08,dense,1.194295404914008e-06,0.002042476037041541,-7.174549982908451,3800.477731088715,999,1854.227520095642,3.711792158293117e-13,1.1469318504831667e-13,0.11767832877183759,9,0.537,0.0,conf_torus_R06_r035,"1,3,6,15,18,24,25,29"
1000,8,1e-08,dense,1.2064258975806898e-06,0.0019462707646665644,-7.163120842827313,3931.3173119593494,999,1782.0841227609021,1.3830082912225095e-14,2.180943655086497e-14,0.1397008414434525,9,0.579,0.0,conf_torus_R06_r035,"3,6,8,11,17,23,25,28"
1000,3,1e-08,dense,3.474993022066297e-08,0.0028466318562108436,-7.549188644350296,65388.365647860395,985,453.64338259962256,-2.401076518442135e-16,5.839927710360129e-14,0.03412135847167383,9,0.534,0.0,conf_two_spheres_row,"4,12,24"
1000,3,1e-08,dense,1.4506846352444452e-07,0.0022606522114322824,-7.441544927235057,30425.077727337313,999,1022.6336293087637,2.5091149659412447e-13,1.2649696616614738e-13,0.06737162130174815,9,0.8,0.0,conf_two_spheres_row,"18,25,26"
