scene,N,subset,lambda_min_eff,logdet_eff,a_opt_eff,si_mae_A,ho_psnr
hemisphere,3,"2,9,25",1.0922846389869439e-05,-3305.949015969859,108.09951849991313,0.04158559814095497,14.70686404014548
hemisphere,3,"26,27,29",0.001612219898094602,-771.5215178966197,4.436650210352431,0.0200702715665102,20.541994782527443
hemisphere,3,"2,14,25",0.00040523894053255064,-3437.4144392452145,33.615148766767476,0.02363571524620056,15.51094388533742
hemisphere,3,"1,18,26",0.0027634291434526057,-908.4829531373566,4.423783067242168,0.01356134656816721,20.811766579162637
hemisphere,3,"7,24,29",0.0022928383785475242,-1179.1126238512884,5.445332301266916,0.014637930318713188,19.307203529769986
hemisphere,3,"11,28,31",0.0007760626872994217,-1396.7507724836703,8.375081277101843,0.017257777974009514,17.828265555967683
hemisphere,3,"2,16,23",0.0005774931149060002,-736.4578361127402,3.4389404003950323,0.017512569203972816,19.898508081204184
hemisphere,3,"21,24,26",0.0008980023882104182,-45.69475336121576,3.009498237994474,0.016756033524870872,22.085472872967266
hemisphere,3,"1,15,23",0.0002250403534883544,-2788.800634639183,37.75520750534005,0.010689247399568558,15.647312403034368
hemisphere,3,"0,12,27",0.03543146778448143,-645.352969564257,1.5724979935485113,0.012349089607596397,27.99663322897322
hemisphere,3,"15,26,29",0.001612219898094602,-695.5759689466556,4.219356813516834,0.019116319715976715,20.4982622499638
hemisphere,3,"7,13,15",0.0029050536563223063,-954.0049980432757,3.129062406426206,0.01251174509525299,21.279158637112584
hemisphere,3,"8,10,19",0.020122381425813633,-87.63519075600601,1.3846102709931987,0.01443061139434576,21.661340122484695
hemisphere,3,"5,16,23",0.00822101089181468,130.55798632658053,1.3430437598795266,0.01740863546729088,22.187773816407258
hemisphere,3,"4,6,21",0.0017060227702782873,-1413.8913655884485,4.373539971107461,0.009788991883397102,20.59871166074688
hemisphere,3,"13,15,27",0.000799045704127623,-671.1930575202678,3.0093661069107727,0.013468064367771149,21.04558040774526
hemisphere,3,"15,18,30",0.0003904097625069502,-1798.861264094457,13.89940662597816,0.017017941921949387,18.891164921058067
hemisphere,3,"9,11,20",0.0003174734246260808,-2741.4396343621243,23.9905853819412,0.00729676429182291,15.901680350499444
hemisphere,5,"0,2,4,13,31",0.0625525978636603,780.3018601484252,0.8561113894471009,0.007995088584721088,28.24118302277363
hemisphere,5,"6,8,14,16,31",0.009523901644464048,359.05554093208764,1.48485685184491,0.009028920903801918,21.461014766779194
