scene,N,arm,subset_id,subset_str,reconstruction_error,success
conf_cube_plus_cone,3,random,437,"0,24,25",0.0005885393475182354,0
conf_cube_plus_cone,3,random,67,"0,3,12",0.0001597341033630073,0
conf_cube_plus_cone,3,random,420,"0,22,23",0.0001962807436939329,0
conf_cube_plus_cone,3,random,237,"0,10,14",0.00019346442422829568,0
conf_cube_plus_cone,3,random,190,"0,8,10",0.0007989451987668872,0
conf_cube_plus_cone,3,random,444,"0,25,26",0.0001620162365725264,0
conf_cube_plus_cone,3,random,377,"0,18,22",0.0002077080134768039,0
conf_cube_plus_cone,3,random,62,"0,3,7",0.00016746160690672696,0
conf_cube_plus_cone,3,random,28,"0,1,30",0.00013725346070714295,0
conf_cube_plus_cone,3,random,304,"0,13,24",0.0006144977523945272,0
conf_cube_plus_cone,3,random,148,"0,6,15",0.00014637387357652187,0
conf_cube_plus_cone,3,random,394,"0,19,27",0.0004041292704641819,0
conf_cube_plus_cone,3,random,135,"0,5,27",0.0003185673267580569,0
conf_cube_plus_cone,3,random,131,"0,5,23",0.00017012457828968763,0
conf_cube_plus_cone,3,random,10,"0,1,12",0.0001420630724169314,0
conf_cube_plus_cone,3,random,291,"0,12,29",0.00041758394218049943,0
conf_cube_plus_cone,3,random,248,"0,10,25",0.00016282446449622512,0
conf_cube_plus_cone,3,random,405,"0,20,27",0.0003051581734325737,0
conf_cube_plus_cone,3,random,497,"1,3,7",0.00012409040937200189,0
conf_cube_plus_cone,3,random,470,"1,2,8",0.0007125966949388385,0
conf_cube_plus_cone,3,random,390,"0,19,23",0.0002890049363486469,0
conf_cube_plus_cone,3,random,438,"0,24,26",0.0006093985284678638,0
conf_cube_plus_cone,3,random,299,"0,13,19",0.0003052435349673033,0
conf_cube_plus_cone,3,random,203,"0,8,23",0.0007821463514119387,0
conf_cube_plus_cone,3,random,434,"0,23,29",0.00043759815162047744,0
conf_cube_plus_cone,3,random,72,"0,3,17",0.00015438272384926677,0
conf_cube_plus_cone,3,random,138,"0,5,30",0.00016569277795497328,0
conf_cube_plus_cone,3,random,167,"0,7,10",0.00017419640789739788,0
conf_cyl_plus_sphere,3,proxy_top,49,"0,2,22",0.00047525338595733047,0
conf_cyl_plus_sphere,3,proxy_top,57,"0,2,30",0.0004354432749096304,0
conf_cyl_plus_sphere,3,proxy_top,52,"0,2,25",0.00043455776176415384,0
conf_cyl_plus_sphere,3,proxy_top,41,"0,2,14",0.0005807786947116256,0
conf_cyl_plus_sphere,3,proxy_top,54,"0,2,27",0.000533732702024281,0
conf_cyl_plus_sphere,3,proxy_top,44,"0,2,17",0.0004134297196287662,0
conf_cyl_plus_sphere,3,proxy_top,312,"0,14,15",0.00052844756282866,0
conf_cyl_plus_sphere,3,proxy_top,148,"0,6,15",0.0006892869132570922,0
conf_cyl_plus_sphere,3,proxy_top,46,"0,2,19",0.0006748680025339127,0
conf_cyl_plus_sphere,3,proxy_top,153,"0,6,20",0.0006195944733917713,0
conf_cyl_plus_sphere,3,proxy_top,217,"0,9,15",0.00037170748692005873,0
conf_cyl_plus_sphere,3,proxy_top,179,"0,7,22",0.0003604200901463628,0
conf_cyl_plus_sphere,3,proxy_top,330,"0,15,17",0.0003533847047947347,0
conf_cyl_plus_sphere,3,proxy_top,335,"0,15,22",0.00041840446647256613,0
conf_cyl_plus_sphere,3,proxy_top,171,"0,7,14",0.0004669867630582303,0
conf_cyl_plus_sphere,3,proxy_top,222,"0,9,20",0.00030563492327928543,0
conf_cyl_plus_sphere,3,proxy_top,317,"0,14,20",0.0004612275224644691,0
conf_cyl_plus_sphere,3,proxy_top,174,"0,7,17",0.0002970454515889287,0
conf_cyl_plus_sphere,3,proxy_top,182,"0,7,25",0.0003167980758007616,0
conf_cyl_plus_sphere,3,proxy_top,102,"0,4,20",0.0002839109511114657,0
conf_cyl_plus_sphere,3,proxy_top,18,"0,1,20",0.00037272466579452157,0
conf_cyl_plus_sphere,3,proxy_top,47,"0,2,20",0.0004693801747635007,0
conf_cyl_plus_sphere,3,proxy_top,187,"0,7,30",0.00031919244793243706,0
conf_cyl_plus_sphere,3,proxy_top,97,"0,4,15",0.000347683671861887,0
conf_cyl_plus_sphere,3,proxy_top,362,"0,17,20",0.00028783653397113085,0
conf_cyl_plus_sphere,3,proxy_top,245,"0,10,22",0.0004649976617656648,0
conf_cyl_plus_sphere,3,proxy_top,277,"0,12,15",0.00036973238456994295,0
conf_cyl_plus_sphere,3,proxy_top,13,"0,1,15",0.0004366043140180409,0
