23:22:43 [ok] phys=3.63GB pf=7.26GB temp=78°C
23:22:46 [ok] phys=3.64GB pf=7.26GB temp=77°C
23:22:49 [ok] phys=3.57GB pf=7.18GB temp=77°C
23:22:52 [ok] phys=3.56GB pf=7.17GB temp=81°C
23:22:55 [ok] phys=3.56GB pf=7.18GB temp=77°C
23:22:58 [ok] phys=3.56GB pf=7.18GB temp=77°C
23:23:02 [ok] phys=3.57GB pf=7.19GB temp=77°C
23:23:05 [ok] phys=3.58GB pf=7.21GB temp=80°C
23:23:08 [ok] phys=3.58GB pf=7.22GB temp=77°C
23:23:11 [ok] phys=3.58GB pf=7.22GB temp=77°C
23:23:14 [ok] phys=3.58GB pf=7.22GB temp=77°C
23:23:17 [ok] phys=3.58GB pf=7.22GB temp=77°C
23:23:20 [ok] phys=3.58GB pf=7.22GB temp=77°C
