probe,scene,N,g0,g1,g2,g3,g4,g_min_over_max
B,09fb340c826c402683eca48320936aec,5,0.000562931876629591,0.0005629360093735158,0.0005629360675811768,0.0005629534716717899,0.0005629670922644436,0.9999374463706022
B,0a354259149c4930bac9bab65ce89cdd,5,0.0005665115313604474,0.000566504371818155,0.0005664899363182485,0.0005664901691488922,0.0005664874333888292,0.9999574625223244
B,0a39c8c2a2df48b6a072da1d9306cf36,5,0.0005648396909236908,0.000564753485377878,0.0005649900413118303,0.0005647686193697155,0.0005648533697240055,0.9995813095512214
B,0ae2a05bf20c4b028b86c33e26aa9e0c,5,0.0005627277423627675,0.0005627148202620447,0.0005626749480143189,0.000562672212254256,0.0005626489291898906,0.999859944397719
B,0af17e65f26647cc99709f7d15944994,5,0.0005682835471816361,0.0005683025810867548,0.0005682645132765174,0.0005682666087523103,0.0005682993796654046,0.9999330148911789
B,0b1cc5fa9d8744ddabb84d3ec55b9a97,5,0.0005611823289655149,0.0005611826200038195,0.0005611807573586702,0.0005611843662336469,0.0005612066015601158,0.999953948864155
B,0b6168841a3f46bdaa56947d469c79da,5,0.0005689928657375276,0.0005689866957254708,0.0005689866957254708,0.0005689923418685794,0.0005689913523383439,0.9999891562576118
B,0bba5774d2bd40e48a2d246fdd0b92f5,5,0.000583044660743326,0.000583027780521661,0.0005830695736221969,0.0005829982692375779,0.0005831080488860607,0.9998117336080465
B,0c5eb9cedea94e2180187a07cb661ceb,5,0.0005804013344459236,0.0005802647792734206,0.0005802678060717881,0.0005802760715596378,0.0005802665837109089,0.9997647228488312
B,0c87b9d50c7f4a2292e337ceb54ec36a,5,0.0005629070219583809,0.0005629177903756499,0.0005629037623293698,0.0005628741928376257,0.0005629180814139545,0.9999220338131287
B,0cc862bb5d9f41269631ff62504cfdf9,5,0.0005606947233900428,0.000560697284527123,0.0005606940831057727,0.0005606854683719575,0.0005607057246379554,0.9999638736237071
B,0e63e1ef419b49278ddc45ec63f69979,5,0.0005629452061839402,0.0005629651132039726,0.0005629541119560599,0.0005629720399156213,0.0005629592924378812,0.9999523355872432
B,0e92245b9cac4423810aece64743decd,5,0.0005620596348308027,0.0005620596348308027,0.0005620480515062809,0.0005620102747343481,0.000562057364732027,0.9999121799656197
B,0f3d54f4b2b74580a2c1891c1116dc5f,5,0.0005684890202246606,0.0005684774369001389,0.0005685383221134543,0.0005684967036359012,0.0005685496143996716,0.9998730497784104
B,0f48025ff969419582312f9a02fd7af0,5,0.0005564805469475687,0.0005588039639405906,0.0005673409323208034,0.0005671859835274518,0.0005636918358504772,0.9808573914651134
B,10edcd93ffa94c2a8cc0bc2e9bcf7eae,5,0.0005639063310809433,0.0005639456794597208,0.0005638973088935018,0.0005638928269036114,0.0005639083101414144,0.9999062807677505
B,1175f68a974a45f5b9b6e51c08f1a432,5,0.0005662263138219714,0.0005662904004566371,0.0005663386546075344,0.0005663554184138775,0.0005663920310325921,0.9997074160624779
B,11940acb7fe34046ae965ed2fc1a3359,5,0.0005601741140708327,0.0005601740558631718,0.0005601744633167982,0.0005601741140708327,0.0005601713783107698,0.999994492776393
B,1199736697cb491a899f77c0b75112dd,5,0.0005756273167207837,0.0005756192840635777,0.0005756129394285381,0.0005756068858318031,0.0005756213795393705,0.9999645067417978
B,11b4c003677148478409d6a66a65eb0e,5,0.0005659500020556152,0.0005659447051584721,0.0005659596063196659,0.0005659260787069798,0.0005659080343320966,0.9999088769110137
B,12aef634af8944ff86f9a967ccb1608b,5,0.0005678892484866083,0.0005679152091033757,0.0005678892484866083,0.0005678962334059179,0.0005678892484866083,0.9999542878648938
B,1397ff3d60e04d9aa7b0524d022cf5cf,5,0.0006003539892844856,0.0005884254933334887,0.000572653952986002,0.0005549637135118246,0.0005289812688715756,0.881115605647972
B,13c868d7ccfa48288730c0e6334a288c,5,0.0005672559491358697,0.0005670110695064068,0.0005668178200721741,0.0005674386629834771,0.0005672857514582574,0.9989058854255035
B,13d4e5021ab84f30afd31f35c213cccb,5,0.0005704541108570993,0.0005704411887563765,0.0005704487557522953,0.0005704539944417775,0.0005704539944417775,0.9999773476946229
B,1420fb72273245db90f1e90ab0bc1724,5,0.000562138098757714,0.000562138098757714,0.0005621383315883577,0.0005621234886348248,0.0005621412419714034,0.9999684183702368
B,15db5f6f195c4995898af1b0ce431f80,5,0.0005697320448234677,0.0005697539309039712,0.0005697844899259508,0.0005697646993212402,0.000569780939258635,0.999907956247651
B,1603ccd8b72e49c1a7074f124b212f0e,5,0.0005603344179689884,0.0005603398312814534,0.0005603308090940118,0.0005603370955213904,0.000560329295694828,0.9999811978623735
B,16ffa17d84c8467f89403df9ad894301,5,0.0005785417160950601,0.0005785526009276509,0.0005785530083812773,0.000578541774302721,0.0005785442772321403,0.99998048184686
B,17092add79b24457ba29f0b35d660072,5,0.0005657305591739714,0.0005657511064782739,0.0005657618748955429,0.0005657276487909257,0.000565722060855478,0.9999296275662404
B,179832b0585c415d979f90dced97ae71,5,0.0005623095203191042,0.0005623280303552747,0.000562319706659764,0.0005622958997264504,0.0005623038741759956,0.9999428614134637
B,17bc5de2691b43cfb873091778a8de52,5,0.0005612376262433827,0.0005612293025478721,0.0005612164968624711,0.0005612222594209015,0.000561232038307935,0.999962352166135
B,18b0f54db566476fb861c8fa187cd8d8,5,0.00056177016813308,0.0005618009017780423,0.0005617852439172566,0.0005617788410745561,0.0005617879214696586,0.9999452944186009
B,1907da7461054e5ba6885302c08c2677,5,0.0005614882684312761,0.0005672783590853214,0.0005670614773407578,0.0005672494880855083,0.0005671872640959918,0.9897932107556839
B,191df4fa5f48453d81ede86ed863a3c2,5,0.0005213622935116291,0.0005797275225631893,0.0005866821738891304,0.0005753134610131383,0.0005803498788736761,0.8886622377760446
B,193c0e81efc74ed0bd5834586cf3fe8f,5,0.0005630084197036922,0.0005629800725728273,0.0005630123778246343,0.0005630017258226871,0.0005630322848446667,0.9999072659361731
B,195a37929e644c3dbfbe25de252b0969,5,0.0005616152775473893,0.0005616284324787557,0.0005616480484604836,0.0005616411799564958,0.0005616727285087109,0.9998977145259053
B,1ada36a1a86a4bdaaa106bee7d9ac67d,5,0.0005686537479050457,0.0005685787764377892,0.0005686618387699127,0.0005686559597961605,0.00056871009292081,0.9997690976744472
B,1b98302c1ed9406a8343b3d39d6c5095,5,0.0005687190569005907,0.0005687053198926151,0.0005687340744771063,0.0005687388475053012,0.0005687388475053012,0.9999410491953675
B,1bbd90606751424ca876f2c94e183784,5,0.0005611157394014299,0.0005611983360722661,0.0005612549721263349,0.0005611862288787961,0.000560946180485189,0.9994498193219098
B,1bc61e7f64a54ccc9f3942b874779522,5,0.0005729179829359055,0.0005729513941332698,0.0005729161784984171,0.0005728743271902204,0.0005729351541958749,0.9998654913072234
B,1d29f591697e493387d51a116b895934,5,0.000570420001167804,0.0005705329240299761,0.000570270698517561,0.0005699186585843563,0.0005699129542335868,0.9989133496591044
B,1dbcb5f847804c75822615e161505d83,5,0.0005609061918221414,0.000560907123144716,0.0005609085783362389,0.0005609052604995668,0.0005609043291769922,0.999992424506576
B,1e5929958e9d4fd5b0b8cdeaf2752d01,5,0.0005608138744719326,0.0005608193459920585,0.0005608266801573336,0.0005608267383649945,0.0005608024075627327,0.999956616187144
B,1ea9f54daa68475d867243576d94e9b5,5,0.0005768770934082568,0.0005798594211228192,0.0005802470841445029,0.0005808709538541734,0.0005808915011584759,0.9930892296716114
B,1eeefd2d22dd4b6c8ec6fbfa1f885d01,5,0.0005650055827572942,0.0005649965605698526,0.0005649885861203074,0.0005650019738823175,0.0005649997619912028,0.9999699177539029
B,1f6c403e514e4d259ecb329543003c3d,5,0.0005766481044702232,0.0005766432732343674,0.0005766432732343674,0.0005766274989582598,0.0005766201647929847,0.9999515481330435
B,1f899649bb9f4e51a031668b0a97d438,5,0.0006106551154516637,0.0006106466171331704,0.000610571529250592,0.0006106506334617734,0.0006106552900746465,0.9998628345231493
